title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python工程师,深圳,python工程师,本科,3-5年,"[""Java"", ""\u5206\u5e03\u5f0f\u6280\u672f"", ""\u5bb9\u5668\u6280\u672f"", ""NoSQL"", ""MongoDB"", ""Flask"", """", """"]","[12000, 22000]",13薪,"[""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u901a\u8baf\u8865\u8d34"", ""\u56e2\u5efa\u805a\u9910"", ""\u5b63\u5ea6\u5956\u91d1"", ""\u80a1\u7968\u671f\u6743"", ""\u9910\u8865"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u52a0\u73ed\u8865\u52a9"", ""\u5458\u5de5\u65c5\u6e38"", ""\u4e94\u9669\u4e00\u91d1"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",研发总监,杨先生研发总监,0,瀚一数据科技（深...,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200228/a6ae85a4261c3232417759f3871e7a9da552f0e8e2cef924b7df0050d23dee56_s.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,A轮,"['100', '499']",https://www.zhipin.com/job_detail/4aaa8a14aa12b5691nF629W7FVpQ.html?lid=1kNGY3m1QZP.search.1&securityId=Ku2r8v71jewRI-Z18GiiVHyR1Uu4Iid2bfRia6v3unVACa70WNRR9tmnl3lD2TAXuYCxqRtLvjaDtm1ezK0hUucULtlSS1VpC0C-kZPjOsVrAJaKsQ~~&sessionId=,https://www.zhipin.com/gongsi/48f4daef13d409701XN_39S7Eg~~.html,南山区
Python工程师,北京,python工程师,本科,5-10年,"[""Python"", ""\u5168\u6808\u5f00\u53d1"", ""Node.js""]","[18000, 35000]",14薪,"[""\u4ea4\u901a\u8865\u52a9"", ""\u514d\u8d39\u73ed\u8f66"", ""\u9910\u8865"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u80a1\u7968\u671f\u6743"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5305\u5403"", ""\u8282\u65e5\u798f\u5229"", ""\u5e26\u85aa\u5e74\u5047""]",软件开发工程师,吴先生软件开发工程师,0,京东集团,"https://img.bosszhipin.com/beijin/mcs/bar/20191129/3cdf5ba2149e309b38868b62ae9c22cabe1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/5cb5569b6c4c14b433R72NS4EFI~.html?lid=1kNGY3m1QZP.search.2&securityId=zfjGPbrIDizB0-T1Da3F34hAlFZ2QJ27pyQh-kNv_Gw4--peoYJEhu6w5nDNld_D_RHjp3LLNxaS_1yh1lKXxO_hM0D_8kibzYkdrCtJW8k-EQ~~&sessionId=,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html,朝阳区
Python工程师,上海,python工程师,学历不限,在校/应届,"[""Python"", ""Python\u5de5\u7a0b\u5e08""]","[7000, 9000]",0薪,"[""\u5305\u5403"", ""\u4ea4\u901a\u8865\u52a9"", ""\u80a1\u7968\u671f\u6743"", ""\u9910\u8865"", ""\u5e74\u7ec8\u5956"", ""\u901a\u8baf\u8865\u8d34"", ""\u8282\u65e5\u798f\u5229"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u4e94\u9669\u4e00\u91d1""]",技术总监,李先生技术总监,0,中集飞瞳,"https://img.bosszhipin.com/beijin/upload/com/logo/20210705/138b2729a19ea67a24a63f4b9110fba25edcd4cb8ccb1a662d307d65b98a6dbe.png?x-oss-process=image/resize,w_100,limit_0",智能硬件,已上市,"['100', '499']",https://www.zhipin.com/job_detail/1a1be3ff516024531nV4392_FVRS.html?lid=1kNGY3m1QZP.search.3&securityId=wCwNprBIbeMZd-N1JXLBoOWY8c8JYwUK0M-raNAqZ17fuHd_Ncd4bHNVtYBAwYLZ9Apax-JczYHq3ZnG6ykaz9WcXoUDM6HsjXtLjnG7YCaG7T8Vhw~~&sessionId=,https://www.zhipin.com/gongsi/416ebc86c68b712c1nZ_09i4EVQ~.html,浦东新区
python工程师,杭州,python工程师,本科,1-3年,"[""Python""]","[8000, 13000]",0薪,"[""\u5168\u52e4\u5956"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u4e94\u9669\u4e00\u91d1""]",人事行政专员,曾女士人事行政专员,0,汉德瑞,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",智能硬件,未融资,"['100', '499']",https://www.zhipin.com/job_detail/14562cfc6f3991781Xx609W_EFtR.html?lid=1kNGY3m1QZP.search.4&securityId=S9r4M0rH-mxr1-913jzvuMXprJwXJ776E5HPUflxMMlj_4Cn2kdRtj9Xc9MuhAYgvADnDJqRymvF88bSz4zh6VbDuZPS_DAtdKf6fu2mW_3B6QZvlQo~&sessionId=,https://www.zhipin.com/gongsi/b4e2118d2fd0e81c1nZ83ti8GFY~.html,
python工程师,南京,python工程师,大专,1-3年,"[""\u540e\u7aef"", ""Python"", ""Django"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[7000, 11000]",0薪,无,招聘者,王先生招聘者,0,江苏中存,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"['0', '20']",https://www.zhipin.com/job_detail/fde9953f47fc2fb51XNz09u8F1VW.html?lid=1kNGY3m1QZP.search.5&securityId=sEGXX0agNmoT7-X17Uw59LiOj234fPXIbYIXREHzylKh_C0p1ydkY5AI9ehfGXBIEUZzNAa9uYx_6wZkvWTmrPSW6I2T9iwq-XU6jBdm0Imeu4PDnpPS&sessionId=,https://www.zhipin.com/gongsi/67a0a3b74c46c4bd1XZ-2tS4GVU~.html,栖霞区
python工程师,北京,python工程师,本科,经验不限,"[""\u722c\u866b\u7ecf\u9a8c"", ""\u6570\u636e\u5206\u6790"", ""\u4eba\u5de5\u667a\u80fd"", ""\u6570\u636e\u5904\u7406"", ""Python""]","[4000, 9000]",0薪,"[""\u7ee9\u6548\u5956\u91d1"", ""\u8282\u65e5\u798f\u5229"", ""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u4e94\u9669\u4e00\u91d1""]",招聘者,吴女士招聘者,0,风云众科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20231007/7bf6f160950405e93ceac31eae5ccaf85b81ff93043a8390dbf79b9020b1f90b8bd35114bd3266b7.png.webp?x-oss-process=image/resize,w_100,limit_0",大数据,不需要融资,"['20', '99']",https://www.zhipin.com/job_detail/6f4ec6d76dfd1ad51H193Ny8EFVQ.html?lid=1kNGY3m1QZP.search.6&securityId=6uokgnVlzdxEK-C1Fhpocia1V4cNX6y-Whfxihb3PnTQR-pwTUZh_bQ-IgaQpWuNh_HfMJk_GQkLK5R2FwTf_odIffsoXnwESmYENmQntwWKlihNXw~~&sessionId=,https://www.zhipin.com/gongsi/962c8a73dba596e51nZz0t-4EQ~~.html,昌平区
python工程师,青岛,python工程师,高中,在校/应届,"[""Python"", ""Java"", ""MySQL"", ""\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[3000, 6000]",0薪,"[""\u5305\u5403"", ""\u8282\u65e5\u798f\u5229"", ""\u5305\u4f4f"", ""\u56e2\u5efa\u805a\u9910"", ""\u6709\u65e0\u7ebf\u7f51"", ""\u5e74\u7ec8\u5956""]",人事经理,傅女士人事经理,0,龙图科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20230218/7b5b554d84f9729c7dc1ba80dfb254af15548d4a6e4fc395edbd3a4408c93fca00d8230fa05a6566.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"['20', '99']",https://www.zhipin.com/job_detail/d44351fc21067d8b1XJy3t25EVZZ.html?lid=1kNGY3m1QZP.search.7&securityId=0dyHYTqK97EBl-v1CbRyjVgmFxF4j0Ak_x6kOwuh_XzQWpvzXK6vI7b1mQTo97OQgowwY9KbeLuarjUS9jlCv5Y7lowIXWS2K8811CN7ELTv4vJZxXuW&sessionId=,https://www.zhipin.com/gongsi/c4ae5d50c95785561nJ_09i9FVI~.html,即墨区
python工程师,成都,python工程师,本科,在校/应届,"[""Python"", ""Shell""]","[15000, 30000]",14薪,"[""\u80a1\u7968\u671f\u6743"", ""\u7ee9\u6548\u5956\u91d1"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u4ea4\u901a\u8865\u52a9"", ""\u591c\u73ed\u8865\u52a9"", ""\u514d\u8d39\u73ed\u8f66"", ""\u52a0\u73ed\u8865\u52a9"", ""\u8282\u65e5\u798f\u5229"", ""\u751f\u65e5\u798f\u5229"", ""\u610f\u5916\u9669"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u9910\u8865"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5e74\u7ec8\u5956"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u5047\u65e5\u52a0\u73ed\u8d39""]",高级工程师,李先生高级工程师,0,华为,"https://img.bosszhipin.com/beijin/upload/com/logo/20200429/8f64c9d0b30a53c434b26799ca78966cec9b49ecaf1604cb263748f03d5c2b0f.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/f1efdb06c809e21f1XJ52d69E1JS.html?lid=1kNGY3m1QZP.search.8&securityId=Yugc9mKGuv_Th-x1gEGJYpY_4eib1oGv8TlwF3e0p26Vdt7t6y0APfQSn3ZRYhHtmseKnQ5FZ6V_niEgUzSLZ0ah_vXORQlh3Iq-lcwBG52RJA~~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,郫都区
python工程师,北京,python工程师,本科,在校/应届,"[""Python"", ""Django"", ""Docker""]","[20000, 30000]",0薪,"[""\u4ea4\u901a\u8865\u52a9"", ""\u8282\u5047\u65e5\u52a0\u73ed\u8d39"", ""\u8282\u65e5\u798f\u5229"", ""\u610f\u5916\u9669"", ""\u751f\u65e5\u798f\u5229"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa"", ""\u52a0\u73ed\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1"", ""\u591c\u73ed\u8865\u52a9"", ""\u5e26\u85aa\u5e74\u5047"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u514d\u8d39\u73ed\u8f66"", ""\u5e74\u7ec8\u5956"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u80a1\u7968\u671f\u6743"", ""\u7ee9\u6548\u5956\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u9910\u8865"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669""]",软件工程师,高女士软件工程师,0,华为,"https://img.bosszhipin.com/beijin/upload/com/logo/20200429/8f64c9d0b30a53c434b26799ca78966cec9b49ecaf1604cb263748f03d5c2b0f.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/df23bd8e498afec41HB_3N6_FlJZ.html?lid=1kNGY3m1QZP.search.9&securityId=cjHt3MQ4iLIxW-v1cSt7bC2nYW7IebV069eR3wSQrwjgSGcW8FBqa2uFuiK87JoszE3GfJrx6E71Mh6zhZPCmxSdKFbp7zOgAAJjOBWtv7Va1SQ~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,海淀区
python工程师,南京,python工程师,本科,经验不限,"[""Python"", ""Numpy"", ""\u8fd0\u7ef4\u5f00\u53d1\u7ecf\u9a8c""]","[15000, 30000]",0薪,"[""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u9910\u8865"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5458\u5de5\u65c5\u6e38"", ""\u901a\u8baf\u8865\u8d34"", ""\u4ea4\u901a\u8865\u52a9"", ""\u8282\u65e5\u798f\u5229"", ""\u5e74\u7ec8\u5956""]",招聘者,姚先生招聘者,0,丰疆智能,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20240515/7bf6f160950405e99e62751edf82bc829e6b32c7ea0b34febd60c34367570d93d6aa1d07715d3dea.png.webp?x-oss-process=image/resize,w_100,limit_0",自动化设备,B轮,"['1000', '9999']",https://www.zhipin.com/job_detail/acc41e87550c12a01Hd_3tW1F1VZ.html?lid=1kNGY3m1QZP.search.10&securityId=6P8PNe_AUZExH-q1PNhaABg04cZygx6p_cV37Ty_RlPBXH3oSN7vIgViGPs-4mjtlfC41kg3JYqo726kTZqA6kGuAacWswLlECFyLtzou1n8LVd3ITw~&sessionId=,https://www.zhipin.com/gongsi/856da9348727f08d1Hxy2t6-EQ~~.html,秦淮区
python工程师,武汉,python工程师,本科,1年以内,"[""\u6570\u636e\u5f00\u53d1"", ""Python"", ""pyqt"", ""pyqt5"", ""pyqt6""]","[3000, 8000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5168\u52e4\u5956"", ""\u5e74\u7ec8\u5956""]",产品经理,孙先生产品经理,0,武汉紫枫叶科技,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",企业服务,未融资,"['0', '20']",https://www.zhipin.com/job_detail/113cf95ce322c53d1X152dW9FVdV.html?lid=1kNGY3m1QZP.search.11&securityId=qdadM5cHAps6Z-B1sfM5GTIaBegq0UNK8kmsr-Rjvw5mfHDM9p6eXt5o3XuV205hSOZkgFwRrAPf6Ffg98GZinzCdl2xliCzXngqj7g2tVe3uDFlcNWAcIIbEClsh5797UPS2s3bFT73urEtyXgi&sessionId=,https://www.zhipin.com/gongsi/351801da7999c9c41HN42t2_.html,洪山区
python工程师,杭州,python工程师,本科,经验不限,"[""\u673a\u5668\u5b66\u4e60"", ""\u6570\u636e\u6316\u6398"", ""Python""]","[2000, 3000]",0薪,无,招聘者,熊女士招聘者,0,杭州微豆,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"['0', '20']",https://www.zhipin.com/job_detail/e2858ec75ffbcb040nZ-0tm-FlE~.html?lid=1kNGY3m1QZP.search.12&securityId=16mFLxVpnoZWh-11rZtZlKjQ5SNs2IyjRL9gStIadxTxSP0ovgGrccMqi-QCG3j7Wp7yAfKzwIl5dbTP-F562-fwmftrdkFWF4KJqU8E6S8ZlD6F&sessionId=,https://www.zhipin.com/gongsi/45117b03aa0208d70nF63NS7Fw~~.html,拱墅区
Python工程师,济南,python工程师,学历不限,3-5年,"[""\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""Linux"", ""\u7f51\u7edc\u5b89\u5168""]","[8000, 13000]",0薪,"[""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u8282\u65e5\u798f\u5229"", ""\u52a0\u73ed\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1""]",CTO兼产品研发部部长,李先生CTO兼产品研发部部长,0,山东维平,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170720/e341e13c60224d656c40b6350b5cf9469bca50d6aadc423906e22ff5537bcb4d.jpg?x-oss-process=image/resize,w_100,limit_0",信息安全,天使轮,"['20', '99']",https://www.zhipin.com/job_detail/e80df4cc37a7c5581XR72NW6FlRV.html?lid=1kNGY3m1QZP.search.13&securityId=AGsAGsHMF3XSk-l1R7sUHruZo89WM4HdDGtqekdvgRduE299wlLgWFYKbb2cRekjmvU6TcmdqEg3CMOXekCa_xer1OdTDrXRAipJCsKgt2PowenP&sessionId=,https://www.zhipin.com/gongsi/f2ee9036817f445333d72NS0.html,历下区
python工程师,郑州,python工程师,本科,经验不限,"[""\u5bb9\u5668\u6280\u672f"", ""Redis"", ""MySQL"", ""Django"", ""Linux""]","[11000, 20000]",0薪,"[""\u5b9a\u671f\u4f53\u68c0"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u56e2\u5efa\u805a\u9910"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u751f\u65e5\u798f\u5229"", ""\u5e26\u85aa\u5e74\u5047"", ""\u80a1\u7968\u671f\u6743"", ""\u8282\u65e5\u798f\u5229""]",C开发工程师,贺先生C开发工程师,0,信大网御,"https://img.bosszhipin.com/beijin/upload/com/logo/20201105/026a034f5a859b9b0a4ecae4ad47ef3f96ac7297b897e795f0697f3be3c2ba6d.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"['100', '499']",https://www.zhipin.com/job_detail/088d6058c46a0bb51nF4092-F1VX.html?lid=1kNGY3m1QZP.search.14&securityId=_4KxYx2Xqgh2J-K1v6lWY7TEiSH6MvoKnckWDXTLTYSwVcHMumh7kPQYNvQudLVScFqclHcHFS_ka3PxgCqzZGbkk1X7w-2vRrpOKPD0jH5wri8EG80~&sessionId=,https://www.zhipin.com/gongsi/c8e34e62538b20ee1HV42N61FQ~~.html,金水区
Python工程师/AI 工程师,北京,python工程师,本科,经验不限,"[""PyTorch"", ""Pandas"", ""\u673a\u5668\u5b66\u4e60\u7ecf\u9a8c"", ""Numpy"", ""Python""]","[15000, 30000]",16薪,"[""\u79bb\u804c\u8865\u507f"", ""\u56e2\u5efa\u805a\u9910"", ""\u901a\u8baf\u8865\u8d34"", ""\u4f4f\u623f\u8865\u8d34"", ""\u8282\u65e5\u798f\u5229"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5458\u5de5\u65c5\u6e38"", ""\u52a0\u73ed\u8865\u52a9"", ""\u80a1\u7968\u671f\u6743"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u5047\u65e5\u52a0\u73ed\u8d39"", ""\u4e94\u9669\u4e00\u91d1"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa"", ""\u4ea4\u901a\u8865\u52a9"", ""\u5e74\u7ec8\u5956"", ""\u7ee9\u6548\u5956\u91d1"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5168\u52e4\u5956"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",高级工程师,于先生高级工程师,0,华为技术有限公司,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/4ba6b8dbeaad723c1H192Nq7E1NQ.html?lid=1kNGY3m1QZP.search.15&securityId=22De0qZRiYLw7-r1JmZqh2oJLMm6BJSEevMB37S7nOpd-69lRzdbq_RVDdmXbw-NeEADwhiR-lK4-jitZ1YV0Q2PSwDHH-L2swM9qa7XetiwURR-pQ~~&sessionId=,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html,海淀区
Python 开发工程师,厦门,python工程师,本科,5-10年,"[""Java"", ""Docker"", ""Redis"", ""MongoDB"", ""\u67b6\u6784\u8bbe\u8ba1\u7ecf\u9a8c"", ""Oracle"", """", """", """"]","[25000, 50000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5168\u52e4\u5956"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u514d\u8d39\u73ed\u8f66"", ""\u9910\u8865"", ""\u901a\u8baf\u8865\u8d34"", ""\u8282\u65e5\u798f\u5229"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",算法专家,李先生算法专家,0,安踏,"https://img.bosszhipin.com/beijin/mcs/banner/16ec2f645eaa1594cf6d154191595b35cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",进出口贸易,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/fe1719279aa1796a03R63tu1GVBU.html?lid=1kNGY3m1QZP.search.17&securityId=dvQUIJ3BaW5if-A1T7knMMKSWpmo-EUqbeaGbKXft7mSiez1PIWRk3sSJ3rgjXBNthWFn5RXQ4vBZMrz2nXBu8Ael8YukgSvPKxpTHmn4CJcs3YM_XpV&sessionId=,https://www.zhipin.com/gongsi/b4fb1326501c1fe51XZ_29S4FVo~.html,思明区
Python 开发工程师,上海,python工程师,本科,3-5年,"[""Python"", ""Pandas"", ""Numpy"", ""Flask"", ""MySQL"", """"]","[15000, 23000]",14薪,"[""\u5458\u5de5\u65c5\u6e38"", ""\u5e74\u7ec8\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u9910\u8865"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",CEO,陈先生CEO,0,TacFinTech,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20160926/6ec397a9221ada590836d344b02610759c62688ccb4b9f2d532c7b88d2987bb5.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,A轮,"['20', '99']",https://www.zhipin.com/job_detail/da0ba0187aa4e1011HF60tS1FlpT.html?lid=1kNGY3m1QZP.search.18&securityId=3lRTN9teTdCnM-y1ZG7EvVrNwHM3Y3PsKjgx1_rAZYOd0qVtYDR6UCMdKKOE_fNa7DDcCYFfzqzzVZjDBgqrjiWxI6zw0VB1Ay0SosMnZQsN_Z4D&sessionId=,https://www.zhipin.com/gongsi/baf08eba6d1b51f81HFy2t27.html,浦东新区
Python 开发工程师,贵阳,python工程师,本科,3-5年,"[""Python"", ""MySQL"", ""MongoDB"", ""PostgreSQL"", """"]","[7000, 10000]",0薪,"[""\u5e26\u85aa\u5e74\u5047"", ""\u5de5\u9f84\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u5e74\u7ec8\u5956"", ""\u5b9a\u671f\u4f53\u68c0""]",人事,娄女士人事,0,优联博睿,"https://c-res.zhipin.com/jrs/651ca90fb1284dd4c98d48f055f933e9.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"['20', '99']",https://www.zhipin.com/job_detail/0094110883cec2331HF_09u0FFVY.html?lid=1kNGY3m1QZP.search.19&securityId=AFHtDwo2uhaTX-a1Wsa-7mGn5PP3_eAQA9mrM6SIZg_UFo8Ecg7ZXkvK7GWutRgHAaI7CmnI_ReKEzVrB0W9Bup97XPqOyMRepBtupc2clH2ukrspYs~&sessionId=,https://www.zhipin.com/gongsi/eae28c2d3e4576f21n143Nu7FVA~.html,观山湖区
python后端工程师,中山,python工程师,本科,在校/应届,"[""Python"", ""Django"", ""Docker"", ""PyTorch"", ""Pandas"", ""Selenium"", """", """", """", """", """"]","[4000, 9000]",0薪,"[""\u4fdd\u5e95\u5de5\u8d44"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u9910\u8865"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229"", ""\u56e2\u5efa\u805a\u9910"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa"", ""\u7ee9\u6548\u5956\u91d1"", ""\u4e94\u9669\u4e00\u91d1""]",行政人事,李女士行政人事,0,广东劢智医疗科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20220830/7b5b554d84f9729c549dca0e4de31c71c370fb5901cf8702ce7233832f1d89595bc55ef56f8fe7cb.jpg?x-oss-process=image/resize,w_100,limit_0",计算机服务,未融资,"['0', '20']",https://www.zhipin.com/job_detail/012568a81bf9a94503R639i8GVtV.html?lid=1kNGY3m1QZP.search.20&securityId=iI3l_h3bPUvCa-_1fg3aN5Kj0UDMjrmkDScNCnTgj-ZufL8Uq49RBnF6T45YDVnRFU3qYSw5xiitI2xN7YtVbgU8szqEfkeMtP00axWWAyVoQDMYVCp1&sessionId=,https://www.zhipin.com/gongsi/cfe9f86518f576ef1XV92d-4GVY~.html,火炬开发区
Python全栈工程师,北京,python工程师,本科,1-3年,"[""Java"", ""SQL"", ""\u9ad8\u7ea7\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""PostgreSQL"", """"]","[11000, 22000]",0薪,无,经理,吴先生经理,0,惠曦,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机服务,未融资,"['0', '20']",https://www.zhipin.com/job_detail/c2516bbe2bfbe5581XV53dq_FVJQ.html?lid=1kNGY3m1QZP.search.21&securityId=IfEfayiUuoO3s-S1g-bpc7zZLS1WCm0EAyICjKt82JlqGXi4kjf44i3YTBmbk1pC4pAT7cIsghJgbh6Em17UflCBgYpieAlTgONb6-8T9lVI8hFniUST&sessionId=,https://www.zhipin.com/gongsi/6079cc7bee6fc01b1XR43N--GVU~.html,朝阳区
python开发工程师,合肥,python工程师,本科,1年以内,"[""Python"", ""Numpy"", ""Pandas"", ""Kafka"", ""Redis"", ""Oracle"", """", """"]","[5000, 7000]",0薪,无,招聘者,钱先生招聘者,0,分号科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"['0', '20']",https://www.zhipin.com/job_detail/106bff7a709b22bc1HV90928EVBV.html?lid=1kNGY3m1QZP.search.22&securityId=rC2UCdvasl7EN-c1DOEaTJNtLsEqKdgGYqPpdccUpZgRIhXb65KqlGhgC_9oze-5NR4QIXipkW3X5B8vwHI6M_4q0MOJylkYuSR7Asiw_7UrtgIq6C2v&sessionId=,https://www.zhipin.com/gongsi/076bf83f939395c11HV73921E1Y~.html,包河区
